degree,specialization,academic_score,marks_10th,marks_12th,skills,core_subjects,projects,internships,experience_years,role
BA,Computer Science,9.13,97.6,76.9,"Java, System Design, Python, Git, C++","Computer Networks:B+,Operating Systems:B+,Web Development:A+,Data Structures and Algorithms:B","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",Frontend Developer:4 months,9,UX Designer
M.Tech,Civil Engineering,7.43,82.0,77.4,"Site Supervision, Estimation, Project Management","AutoCAD:A,Structural Analysis:B,Geotechnical Engineering:B+,Construction Management:C,STAAD Pro:A-","Bridge Design: AutoCAD, Structural Analysis",Quantity Surveyor:6 months; Site Engineer:2 months,10,Site Engineer
B.Com,Finance,8.78,70.1,82.9,"GST, Excel, Financial Modeling","Risk Management:A-,Investment Analysis:C,Corporate Finance:B+","Risk Analysis Report: Financial Modeling, Valuation",,10,Financial Analyst
M.Tech,Computer Science,7.51,92.6,93.1,"C++, System Design, Git","Web Development:C,Operating Systems:A-,Computer Networks:C,Compiler Design:A,Data Structures and Algorithms:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",Software Developer:1 months,9,DevOps Engineer
M.Tech,Information Technology,8.26,90.6,84.0,"Linux, AWS, SQL, Network Administration","Cloud Computing:A,Web Technologies:B+,Database Management Systems:C","Disease Detection: Deep Learning, PyTorch, CNN; Customer Segmentation: Python, Scikit-learn, K-means",,7,AI Engineer
M.Tech,Data Science,9.69,80.1,91.3,"R, Python, Tableau, SQL, Power BI","Statistics:B+,Linear Algebra:A,Data Mining:A-,Big Data Analytics:A,Machine Learning:A+","Stock Price Predictor: Python, TensorFlow, LSTM; NLP Chatbot: Python, NLTK, Flask",Data Analyst:3 months; Machine Learning Engineer:1 months,3,AI Engineer
BCA,Artificial Intelligence,9.4,74.4,75.9,"Data Analysis, PyTorch, TensorFlow, Python","NLP:B+,Linear Algebra:A,Machine Learning:A-,Deep Learning:B+","E-commerce API: Node.js, Express, MongoDB",,0,DevOps Engineer
B.Tech,Civil Engineering,7.35,72.8,87.9,"Estimation, Site Supervision, Project Management","Geotechnical Engineering:A-,Construction Management:B+,Structural Analysis:A,AutoCAD:A-","Smart City Drainage: STAAD Pro, Surveying; Bridge Design: AutoCAD, Structural Analysis",Structural Intern:1 months; Quantity Surveyor:4 months,0,Site Engineer
B.Sc,Finance,7.06,75.7,77.1,"Financial Modeling, Excel, GST, Tally","Corporate Finance:A,Financial Management:B,Accounting:B+","Task Management App: React, Redux, Firebase",,0,Economist
BA,Mechanical Engineering,9.27,78.8,96.3,"SolidWorks, Manufacturing, MATLAB","Thermodynamics:B+,Solid Mechanics:C,Ansys:A-,Fluid Mechanics:A","E-commerce API: Node.js, Express, MongoDB",Frontend Developer:1 months,2,Economist
B.Tech,Computer Science,7.14,88.6,84.1,"Git, C++, Python","Compiler Design:C,Web Development:B+,Data Structures and Algorithms:A","E-commerce API: Node.js, Express, MongoDB",,8,DevOps Engineer
MA,Data Science,7.22,80.0,95.2,"Power BI, SQL, Tableau","Linear Algebra:C,Data Mining:C,Statistics:A,Machine Learning:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",Software Developer:5 months,1,UX Designer
B.Tech,Civil Engineering,9.68,78.5,93.8,"Estimation, Project Management, Site Supervision","Geotechnical Engineering:B,AutoCAD:A-,STAAD Pro:C","Residential Complex Planning: Revit, Cost Estimation; Smart City Drainage: STAAD Pro, Surveying",Structural Intern:5 months; Site Engineer:1 months,3,Site Engineer
Diploma,Civil Engineering,8.26,92.2,97.2,"Site Supervision, Estimation, Project Management","AutoCAD:A-,Construction Management:B+,STAAD Pro:A","Residential Complex Planning: Revit, Cost Estimation; Smart City Drainage: STAAD Pro, Surveying",,5,Structural Engineer
M.Tech,Civil Engineering,9.77,83.3,81.4,"Site Supervision, Estimation, Project Management","Structural Analysis:B+,AutoCAD:A+,Geotechnical Engineering:C","Residential Complex Planning: Revit, Cost Estimation",Quantity Surveyor:5 months; Structural Intern:2 months,1,Structural Engineer
MBA,Finance,8.1,85.1,90.3,"GST, Excel, Tally, Financial Modeling","Financial Management:A,Corporate Finance:B+,Accounting:C,Risk Management:B","Portfolio Optimization: Python, Excel, Statistics",,5,Financial Analyst
BA,Civil Engineering,7.01,88.1,77.2,"Site Supervision, Estimation, Project Management","STAAD Pro:C,Structural Analysis:A-,Construction Management:A-,AutoCAD:A,Geotechnical Engineering:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:5 months,8,Teaching Professional
B.Sc,Artificial Intelligence,8.78,89.8,81.9,"TensorFlow, Data Analysis, PyTorch","Machine Learning:A-,Neural Networks:A,Linear Algebra:B,NLP:A-,Statistics:A-","Agile Product Launch: Jira, Scrum; Market Entry Strategy: Research, Strategy",Business Analyst:2 months,8,Business Analyst
MA,Economics,8.43,73.0,73.0,"Data Analysis, Economic Research, Stata","Public Finance:C,Econometrics:A,Microeconomics:A","Brand Revitalization: Marketing, Social Media",,1,Product Manager
BCA,Computer Science,8.57,77.6,93.3,"System Design, Java, C++, Python","Computer Networks:B+,Operating Systems:A,Compiler Design:A,Web Development:A-","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",,8,Backend Developer
MA,Civil Engineering,7.72,94.5,85.1,"Site Supervision, Estimation, Project Management","STAAD Pro:B,Geotechnical Engineering:A,AutoCAD:C,Construction Management:B,Structural Analysis:B+","Market Entry Strategy: Research, Strategy",,1,Product Manager
M.Sc,Computer Science,7.41,95.1,72.7,"Python, Git, System Design","Compiler Design:B+,Data Structures and Algorithms:A-,Operating Systems:A-,Web Development:A-,Computer Networks:B+","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:1 months,3,Mechanical Engineer
BCA,Data Science,7.65,75.2,95.8,"SQL, R, Power BI","Big Data Analytics:B,Data Mining:B,Statistics:B+","Disease Detection: Deep Learning, PyTorch, CNN",Data Analyst:6 months,7,AI Engineer
Diploma,Civil Engineering,8.13,87.1,77.8,"Project Management, Estimation, Site Supervision","STAAD Pro:A,Construction Management:B,Geotechnical Engineering:A-,Structural Analysis:A,AutoCAD:A-","Smart City Drainage: STAAD Pro, Surveying",Quantity Surveyor:1 months,7,Construction Manager
BCA,Artificial Intelligence,8.97,92.6,97.2,"Python, Data Analysis, PyTorch, TensorFlow","Neural Networks:C,Deep Learning:B+,NLP:A,Machine Learning:B,Statistics:B","DevOps Pipeline: Jenkins, Docker, Kubernetes",,6,Frontend Developer
B.Sc,Information Technology,8.43,83.1,72.2,"Linux, AWS, SQL, Network Administration","Cloud Computing:B,Web Technologies:A-,Computer Networks:A,Cyber Security:B+","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:5 months,3,HR Manager
B.Tech,Artificial Intelligence,7.0,75.5,83.8,"PyTorch, Python, TensorFlow, Data Analysis","Statistics:A-,Linear Algebra:B,NLP:C,Machine Learning:A,Deep Learning:C","Task Management App: React, Redux, Firebase",Software Developer:6 months,10,Software Engineer
BCA,Computer Science,8.22,81.7,88.9,"Python, Git, System Design","Data Structures and Algorithms:B+,Compiler Design:B,Operating Systems:A,DBMS:B+,Computer Networks:A-","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",,3,Full Stack Developer
M.Tech,Computer Science,7.83,77.0,76.3,"Java, System Design, Python","Operating Systems:A,Data Structures and Algorithms:A,DBMS:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind",,6,Backend Developer
MA,Information Technology,8.48,78.2,94.9,"SQL, Network Administration, Linux, AWS","Cloud Computing:B+,Cyber Security:B,Database Management Systems:B","DevOps Pipeline: Jenkins, Docker, Kubernetes; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,5,HR Manager
B.Sc,Mechanical Engineering,7.68,73.8,85.4,"SolidWorks, MATLAB, Manufacturing","Fluid Mechanics:C,CAD/CAM:A-,Thermodynamics:C,Solid Mechanics:B+,Ansys:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",,10,UX Designer
M.Tech,Artificial Intelligence,8.88,71.4,86.1,"Python, TensorFlow, Data Analysis","Machine Learning:C,Deep Learning:A-,Linear Algebra:C,NLP:A","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",,10,Software Engineer
MCA,Information Technology,9.11,90.5,74.9,"Network Administration, Linux, AWS","Cyber Security:B+,Web Technologies:B,Computer Networks:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",Backend Developer:1 months,2,Full Stack Developer
MA,Artificial Intelligence,9.11,87.0,90.5,"Data Analysis, PyTorch, TensorFlow","Statistics:A,Neural Networks:C,Deep Learning:A-,NLP:A-","Task Management App: React, Redux, Firebase",DevOps Engineer:3 months,0,HR Manager
BCA,Information Technology,8.08,81.5,85.0,"Network Administration, SQL, AWS","Computer Networks:A-,Cloud Computing:A,Database Management Systems:B,Web Technologies:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",,7,Full Stack Developer
MCA,Artificial Intelligence,9.23,82.3,76.5,"PyTorch, TensorFlow, Python","Deep Learning:B,Machine Learning:C,Neural Networks:C","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",Software Developer:1 months,3,DevOps Engineer
M.Sc,Mechanical Engineering,9.03,96.0,90.6,"MATLAB, SolidWorks, Manufacturing","Solid Mechanics:B+,Ansys:C,Fluid Mechanics:A,CAD/CAM:C,Thermodynamics:B","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",Software Developer:3 months; DevOps Engineer:5 months,6,Research Analyst
Diploma,Civil Engineering,7.13,92.1,90.0,"Project Management, Estimation, Site Supervision","AutoCAD:C,STAAD Pro:B,Structural Analysis:B","Smart City Drainage: STAAD Pro, Surveying",Quantity Surveyor:2 months,4,Construction Manager
M.Com,Finance,8.99,96.6,96.9,"Financial Modeling, GST, Tally","Corporate Finance:B,Investment Analysis:A-,Accounting:B+","Portfolio Optimization: Python, Excel, Statistics",Financial Analyst:3 months,2,Accountant
M.Tech,Data Science,9.56,90.7,86.8,"Python, SQL, Power BI, R, Tableau","Big Data Analytics:B+,Data Mining:A-,Statistics:A","Customer Segmentation: Python, Scikit-learn, K-means",Data Analyst:3 months,1,AI Engineer
MA,Finance,7.47,94.1,84.3,"Tally, Financial Modeling, Excel","Risk Management:C,Investment Analysis:A,Accounting:A-,Financial Management:B+,Corporate Finance:C","E-commerce API: Node.js, Express, MongoDB",,2,Mechanical Engineer
M.Sc,Artificial Intelligence,7.14,75.5,79.1,"TensorFlow, Python, Data Analysis, PyTorch","Machine Learning:C,Deep Learning:C,Linear Algebra:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:5 months; Software Developer:1 months,6,Research Analyst
MCA,Computer Science,9.68,74.9,81.7,"Python, System Design, C++","Web Development:A-,DBMS:B,Data Structures and Algorithms:A,Compiler Design:B,Computer Networks:B","Task Management App: React, Redux, Firebase",Frontend Developer:3 months; Frontend Developer:4 months,5,DevOps Engineer
MCA,Data Science,8.96,81.6,91.9,"Python, Tableau, Power BI, R","Statistics:A+,Big Data Analytics:C,Data Mining:B+,Linear Algebra:B+","Stock Price Predictor: Python, TensorFlow, LSTM; NLP Chatbot: Python, NLTK, Flask",Data Scientist:5 months; Data Analyst:4 months,0,Data Analyst
MA,Artificial Intelligence,9.29,72.5,84.2,"PyTorch, Data Analysis, Python, TensorFlow","Neural Networks:B+,Linear Algebra:B,Deep Learning:A,Statistics:B+,NLP:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes",Software Developer:2 months,4,Mechanical Engineer
B.Tech,Computer Science,7.57,77.6,94.9,"Python, Java, C++, Git","DBMS:B,Compiler Design:A-,Web Development:B,Computer Networks:B","Stock Price Predictor: Python, TensorFlow, LSTM",Data Scientist:2 months,1,Data Analyst
BCA,Computer Science,7.92,78.9,97.9,"Python, System Design, Java, Git, C++","DBMS:B+,Compiler Design:B,Data Structures and Algorithms:B","Stock Price Predictor: Python, TensorFlow, LSTM; Disease Detection: Deep Learning, PyTorch, CNN",,7,Machine Learning Engineer
BA,Marketing,8.15,94.0,75.2,"Content Strategy, SEO, Google Analytics, Social Media","Brand Management:A,Digital Marketing:A,Consumer Behavior:B+","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",,0,Marketing Specialist
M.Tech,Civil Engineering,8.65,93.1,77.5,"Project Management, Site Supervision, Estimation","Geotechnical Engineering:B+,Construction Management:B,AutoCAD:A-","Residential Complex Planning: Revit, Cost Estimation",,2,Site Engineer
BBA,Marketing,7.95,76.8,73.4,"Google Analytics, SEO, Content Strategy","Market Research:B+,Consumer Behavior:B+,Brand Management:A,Digital Marketing:C","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",,3,Marketing Specialist
M.Tech,Civil Engineering,9.53,81.6,70.1,"Site Supervision, Estimation, Project Management","Structural Analysis:B,Geotechnical Engineering:A,STAAD Pro:A,Construction Management:A-","Residential Complex Planning: Revit, Cost Estimation",,2,Civil Engineer
BCA,Data Science,8.14,81.0,80.8,"Tableau, Python, SQL, R, Power BI","Data Mining:B+,Big Data Analytics:B,Linear Algebra:A-,Machine Learning:B,Statistics:C","Task Management App: React, Redux, Firebase; Portfolio Website: HTML, CSS, JavaScript, Tailwind",DevOps Engineer:6 months,9,DevOps Engineer
BA,Civil Engineering,7.37,79.6,70.9,"Project Management, Site Supervision, Estimation","Construction Management:B,STAAD Pro:A-,Geotechnical Engineering:B","Agile Product Launch: Jira, Scrum",,3,Business Analyst
BCA,Computer Science,9.59,89.5,76.3,"Java, Git, C++, System Design","Compiler Design:B,Web Development:C,Computer Networks:A,Operating Systems:B","Disease Detection: Deep Learning, PyTorch, CNN; Stock Price Predictor: Python, TensorFlow, LSTM",Machine Learning Engineer:2 months,8,Data Analyst
M.Tech,Data Science,8.78,82.0,89.6,"R, SQL, Python, Tableau","Machine Learning:A,Data Mining:A-,Statistics:A","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:2 months; Frontend Developer:6 months,5,Frontend Developer
BA,Civil Engineering,7.55,87.0,75.3,"Estimation, Site Supervision, Project Management","Construction Management:B+,AutoCAD:B,STAAD Pro:C,Structural Analysis:A-","Market Entry Strategy: Research, Strategy",Business Analyst:1 months; Business Analyst:2 months,6,Product Manager
B.Tech,Civil Engineering,9.25,92.0,77.5,"Site Supervision, Estimation, Project Management","Geotechnical Engineering:B,Construction Management:B,Structural Analysis:A,AutoCAD:A,STAAD Pro:A-","Smart City Drainage: STAAD Pro, Surveying",Quantity Surveyor:3 months; Site Engineer:1 months,7,Construction Manager
M.Sc,Mechanical Engineering,7.88,92.1,84.8,"MATLAB, Manufacturing, SolidWorks","Fluid Mechanics:B+,Thermodynamics:B,Ansys:B+","Brand Revitalization: Marketing, Social Media",,5,Product Manager
M.Sc,Economics,9.15,72.2,83.4,"Stata, Data Analysis, Economic Research","Statistics:A,Microeconomics:A,Macroeconomics:B+,Econometrics:A-,Public Finance:C","Brand Revitalization: Marketing, Social Media",Product Management:5 months; Business Analyst:5 months,0,Business Analyst
BCA,Data Science,7.81,90.2,79.3,"Tableau, SQL, Power BI","Big Data Analytics:B,Statistics:B,Data Mining:A,Machine Learning:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",,8,DevOps Engineer
Diploma,Civil Engineering,8.38,71.1,70.6,"Site Supervision, Project Management, Estimation","Construction Management:A,AutoCAD:B+,STAAD Pro:A","Bridge Design: AutoCAD, Structural Analysis",Site Engineer:6 months; Site Engineer:4 months,7,Construction Manager
B.Tech,Artificial Intelligence,7.94,93.4,90.7,"TensorFlow, Python, PyTorch, Data Analysis","Linear Algebra:A,Deep Learning:A+,Machine Learning:A,NLP:C,Neural Networks:A-","Stock Price Predictor: Python, TensorFlow, LSTM",,6,Data Scientist
B.Sc,Civil Engineering,8.08,70.5,84.9,"Project Management, Site Supervision, Estimation","Construction Management:A-,Structural Analysis:B+,Geotechnical Engineering:A,AutoCAD:A","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Backend Developer:6 months,5,HR Manager
M.Tech,Civil Engineering,7.34,82.5,93.0,"Estimation, Site Supervision, Project Management","Construction Management:B+,Structural Analysis:C,AutoCAD:A,Geotechnical Engineering:B+,STAAD Pro:A-","Bridge Design: AutoCAD, Structural Analysis",Structural Intern:4 months; Site Engineer:5 months,10,Construction Manager
B.Sc,Mechanical Engineering,7.78,78.9,75.5,"MATLAB, SolidWorks, Manufacturing","Solid Mechanics:B,Fluid Mechanics:B,CAD/CAM:C","Market Entry Strategy: Research, Strategy; Agile Product Launch: Jira, Scrum",Business Analyst:1 months,7,Product Manager
MCA,Information Technology,8.64,95.8,96.7,"SQL, Network Administration, Linux","Database Management Systems:A-,Web Technologies:A,Cyber Security:A-","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:1 months,7,Full Stack Developer
B.Sc,Artificial Intelligence,8.05,91.6,97.0,"Data Analysis, TensorFlow, PyTorch, Python","Neural Networks:B+,NLP:A,Deep Learning:B","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",,2,Research Analyst
M.Tech,Civil Engineering,7.81,87.3,82.7,"Site Supervision, Estimation, Project Management","Construction Management:C,AutoCAD:A,Structural Analysis:A,STAAD Pro:A-,Geotechnical Engineering:A","Smart City Drainage: STAAD Pro, Surveying; Residential Complex Planning: Revit, Cost Estimation",Site Engineer:6 months,5,Site Engineer
BA,Computer Science,7.06,83.0,70.9,"Git, System Design, Java","Compiler Design:B,Operating Systems:A,Computer Networks:C,Data Structures and Algorithms:B,Web Development:A","Agile Product Launch: Jira, Scrum",Marketing Intern:5 months,2,Product Manager
B.Sc,Human Resources,8.42,79.4,85.9,"Employee Relations, Recruiting, Communication","Training and Development:A-,Performance Management:B,HR Management:B+,Labor Laws:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",,2,Economist
BCA,Artificial Intelligence,9.0,90.6,88.4,"TensorFlow, Python, PyTorch","Statistics:C,Deep Learning:C,Neural Networks:A,NLP:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",,5,Software Engineer
BA,Mechanical Engineering,8.37,86.6,90.4,"SolidWorks, Manufacturing, MATLAB","Solid Mechanics:A,Fluid Mechanics:A-,Ansys:B+","Agile Product Launch: Jira, Scrum; Brand Revitalization: Marketing, Social Media",Product Management:5 months; Business Analyst:4 months,3,Product Manager
Diploma,Civil Engineering,7.73,84.8,96.6,"Site Supervision, Project Management, Estimation","Construction Management:A-,Structural Analysis:B,STAAD Pro:A+,AutoCAD:A-,Geotechnical Engineering:A","Bridge Design: AutoCAD, Structural Analysis; Residential Complex Planning: Revit, Cost Estimation",Site Engineer:6 months; Quantity Surveyor:4 months,9,Structural Engineer
M.Tech,Data Science,8.3,90.5,70.2,"Power BI, R, SQL","Linear Algebra:C,Machine Learning:A,Data Mining:B+,Big Data Analytics:A","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",Software Developer:5 months,7,Software Engineer
BCA,Artificial Intelligence,9.58,79.2,87.1,"TensorFlow, Data Analysis, PyTorch","Machine Learning:A-,Linear Algebra:C,Neural Networks:A-,Statistics:A-,NLP:B","Disease Detection: Deep Learning, PyTorch, CNN; Stock Price Predictor: Python, TensorFlow, LSTM",,6,Data Analyst
B.Tech,Civil Engineering,8.98,95.5,86.2,"Project Management, Estimation, Site Supervision","Construction Management:A,AutoCAD:A+,Geotechnical Engineering:B,Structural Analysis:B+,STAAD Pro:B","Bridge Design: AutoCAD, Structural Analysis; Residential Complex Planning: Revit, Cost Estimation",Site Engineer:6 months,9,Site Engineer
MA,Civil Engineering,8.53,76.7,93.0,"Estimation, Project Management, Site Supervision","Construction Management:B+,Geotechnical Engineering:C,Structural Analysis:B+,AutoCAD:C","Market Entry Strategy: Research, Strategy; Agile Product Launch: Jira, Scrum",Product Management:2 months,3,Product Manager
BA,Human Resources,9.02,71.9,73.1,"Communication, Employee Relations, Recruiting","Performance Management:A,HR Management:C,Training and Development:B+,Labor Laws:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind",,4,UX Designer
Diploma,Civil Engineering,8.64,82.4,83.3,"Project Management, Estimation, Site Supervision","STAAD Pro:A+,AutoCAD:A,Construction Management:A,Structural Analysis:C","Bridge Design: AutoCAD, Structural Analysis; Smart City Drainage: STAAD Pro, Surveying",Site Engineer:2 months; Quantity Surveyor:5 months,3,Civil Engineer
M.Tech,Computer Science,8.72,86.0,82.9,"Java, Python, Git, C++","Web Development:A,Compiler Design:C,Data Structures and Algorithms:A,DBMS:A","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",Software Developer:3 months; Software Developer:3 months,3,Backend Developer
B.Tech,Civil Engineering,9.43,77.1,94.1,"Site Supervision, Project Management, Estimation","Construction Management:A,STAAD Pro:B,Structural Analysis:B","Smart City Drainage: STAAD Pro, Surveying",,10,Site Engineer
M.Sc,Finance,7.09,88.0,85.1,"Excel, Financial Modeling, GST","Risk Management:C,Accounting:B,Financial Management:A-","Task Management App: React, Redux, Firebase",Software Developer:5 months; Software Developer:3 months,10,HR Manager
M.Tech,Artificial Intelligence,9.06,80.1,85.4,"TensorFlow, Data Analysis, Python","Statistics:C,Linear Algebra:B+,Deep Learning:C","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",DevOps Engineer:2 months; Frontend Developer:6 months,9,Software Engineer
Diploma,Civil Engineering,7.29,82.2,87.1,"Site Supervision, Estimation, Project Management","STAAD Pro:A-,Construction Management:C,Structural Analysis:B,Geotechnical Engineering:C","Smart City Drainage: STAAD Pro, Surveying",,7,Structural Engineer
B.Sc,Marketing,9.3,75.1,78.9,"SEO, Social Media, Content Strategy, Google Analytics","Brand Management:C,Market Research:B,Marketing Management:A+,Consumer Behavior:A,Digital Marketing:A","Brand Revitalization: Marketing, Social Media",,7,Product Manager
MCA,Computer Science,9.42,73.6,81.5,"C++, Java, Python","Computer Networks:C,DBMS:A-,Compiler Design:A-,Web Development:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",Backend Developer:6 months; DevOps Engineer:3 months,0,Software Engineer
M.Tech,Civil Engineering,8.71,87.8,97.0,"Estimation, Site Supervision, Project Management","AutoCAD:A-,Construction Management:B,STAAD Pro:A+","Smart City Drainage: STAAD Pro, Surveying",Quantity Surveyor:6 months,9,Civil Engineer
MBA,Finance,8.06,87.4,92.5,"Excel, Financial Modeling, Tally, GST","Financial Management:A+,Corporate Finance:C,Accounting:B+","Risk Analysis Report: Financial Modeling, Valuation; Portfolio Optimization: Python, Excel, Statistics",,3,Financial Analyst
BA,Artificial Intelligence,9.72,75.9,72.9,"Python, TensorFlow, Data Analysis","Deep Learning:C,Statistics:B,NLP:C","DevOps Pipeline: Jenkins, Docker, Kubernetes",,4,Teaching Professional
MBA,Marketing,7.96,79.6,72.0,"Google Analytics, SEO, Social Media, Content Strategy","Consumer Behavior:B+,Brand Management:B+,Digital Marketing:A,Marketing Management:A-,Market Research:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",,1,Marketing Specialist
Diploma,Civil Engineering,8.57,91.1,79.5,"Estimation, Site Supervision, Project Management","Geotechnical Engineering:A-,Structural Analysis:A,AutoCAD:B,Construction Management:A-,STAAD Pro:A","Residential Complex Planning: Revit, Cost Estimation; Bridge Design: AutoCAD, Structural Analysis",Structural Intern:2 months; Site Engineer:6 months,9,Construction Manager
MCA,Information Technology,7.58,73.9,84.4,"SQL, Network Administration, AWS, Linux","Web Technologies:C,Cyber Security:B,Computer Networks:A,Database Management Systems:C","Stock Price Predictor: Python, TensorFlow, LSTM; NLP Chatbot: Python, NLTK, Flask",Machine Learning Engineer:1 months; Data Scientist:1 months,0,Data Analyst
M.Sc,Information Technology,8.8,70.6,86.5,"SQL, Linux, AWS, Network Administration","Web Technologies:A,Cyber Security:A-,Computer Networks:A-,Database Management Systems:C,Cloud Computing:C","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",,4,UX Designer
